1000000000000000|9844|6818|2010-07-24 07:09:38|Y
1000000000000001|7145|7249|2007-07-31 18:39:18|Y
1000000000000002|7557|5950|2010-01-13 03:57:59|Y
1000000000000003|7572|8256|2009-02-26 11:59:49|Y
1000000000000004|9040|6663|2005-09-27 10:52:51|Y
1000000000000005|7232|7257|2006-07-06 21:03:46|Y
1000000000000006|9792|7653|2009-10-26 21:50:00|Y
1000000000000007|5363|8357|2006-11-05 11:21:21|Y
1000000000000008|7009|8966|2008-04-10 20:12:42|Y
1000000000000009|9878|6783|2010-08-19 23:26:34|Y
1000000000000010|9197|5373|2008-03-28 07:14:32|Y
1000000000000011|9565|9738|2009-07-22 15:41:18|Y
1000000000000012|5529|5001|2011-02-07 13:28:28|Y
1000000000000013|6602|6243|2007-08-25 21:40:57|Y
1000000000000014|8775|8025|2009-12-16 10:21:40|Y
1000000000000015|7005|5273|2010-12-18 08:33:45|Y
1000000000000016|6521|8798|2010-06-18 05:16:08|Y
1000000000000017|8861|8184|2008-02-19 15:50:01|Y
1000000000000018|8752|7117|2007-08-13 23:15:07|Y
1000000000000019|8012|6850|2008-05-14 09:53:40|Y
1000000000000020|6623|7725|2005-09-18 09:00:37|Y
1000000000000021|9663|5817|2008-09-10 17:23:48|Y
1000000000000022|9970|9140|2011-01-10 23:06:05|Y
1000000000000023|7568|7196|2009-11-28 17:09:01|Y
1000000000000024|7812|8248|2006-01-25 14:57:13|Y
1000000000000025|5276|9742|2009-03-13 15:36:18|Y
1000000000000026|6323|6019|2011-04-15 10:09:57|Y
1000000000000027|8739|5417|2011-01-11 14:29:02|Y
1000000000000028|8259|7650|2010-01-31 20:24:33|Y
1000000000000029|7031|8976|2006-06-08 10:00:27|Y
1000000000000030|9316|9913|2006-04-03 20:02:15|Y
1000000000000031|9472|7627|2008-08-30 18:42:47|Y
1000000000000032|8865|5332|2007-06-19 21:25:19|Y
1000000000000033|8118|6200|2007-10-08 02:09:46|Y
1000000000000034|6340|5074|2008-08-19 23:16:30|Y
1000000000000035|8438|6154|2008-01-18 00:31:14|Y
1000000000000036|8603|7069|2009-05-06 20:08:04|Y
1000000000000037|5857|8845|2010-01-26 00:41:02|Y
1000000000000038|8117|8074|2011-07-01 06:02:55|Y
1000000000000039|9308|7164|2008-06-30 19:20:57|Y
1000000000000040|8494|8465|2006-05-09 03:29:12|Y
1000000000000041|7298|5145|2007-01-27 09:29:49|Y
1000000000000042|9539|7946|2009-01-07 17:35:05|Y
1000000000000043|7150|6370|2007-04-19 08:33:26|Y
