2000000000000000|Amir|Britt|Fairbanks|AK|1-513-821-3854|1995-04-03 02:41:58|M
2000000000000001|Connor|Cleveland|Springfield|MO|1-424-366-8196|1988-12-01 08:57:52|M
2000000000000002|Alan|Weeks|Indianapolis|IN|1-540-933-0716|1954-09-05 21:13:02|M
2000000000000003|Damian|Ingram|Worcester|MA|1-367-893-4754|1978-10-30 21:39:56|M
2000000000000004|Stuart|Marshall|Wichita|KS|1-440-433-7409|1998-04-26 23:23:37|M
2000000000000005|Camden|Hyde|Pocatello|ID|1-641-320-7782|1961-09-29 08:01:24|M
2000000000000006|Lionel|Case|Denver|CO|1-495-449-7138|1960-10-29 23:32:41|M
2000000000000007|Damon|Mccall|Athens|GA|1-680-723-7906|1961-07-22 00:27:32|M
2000000000000008|Wyatt|Williams|Norfolk|VA|1-139-673-5559|1953-12-17 15:53:49|M
2000000000000009|Ian|Terrell|Sioux City|IA|1-907-979-3483|1986-11-27 22:46:35|M
2000000000000010|Yasir|Barnes|Saint Paul|MN|1-703-760-0155|1966-04-12 12:04:42|M
2000000000000011|Hector|Horne|Hillsboro|OR|1-234-832-8667|1976-08-28 20:06:47|M
2000000000000012|Porter|Rivas|Clarksville|TN|1-847-314-3168|1967-02-03 17:26:27|M
2000000000000013|Abbot|Clemons|Springfield|MA|1-315-808-9846|1997-05-12 01:18:54|M
2000000000000014|Holmes|Ford|Columbia|MO|1-337-159-4810|1965-06-16 13:35:18|M
2000000000000015|Lev|Velez|Warren|MI|1-190-570-4799|1999-02-20 16:58:10|M
2000000000000016|Stuart|Arnold|Springfield|MA|1-713-519-4676|1977-06-07 18:13:17|M
2000000000000017|Keefe|Chavez|Jackson|MS|1-551-518-5555|1967-11-01 08:37:20|M
2000000000000018|Thaddeus|Santiago|Fairbanks|AK|1-169-411-3671|1984-11-02 02:07:26|M
2000000000000019|Ralph|Blackwell|Eugene|OR|1-826-977-7332|1988-01-23 15:44:02|M
2000000000000020|Vance|Noble|Dover|DE|1-103-944-1708|1984-04-18 06:24:13|M
2000000000000021|Kasimir|Carroll|Sacramento|CA|1-534-132-8052|1966-01-09 04:04:25|M
2000000000000022|Lane|Hamilton|Cambridge|MA|1-763-968-4765|1989-11-27 20:16:36|M
2000000000000023|Adam|Britt|South Bend|IN|1-144-558-6482|1982-11-12 17:37:13|M
2000000000000024|Marsden|Snyder|Green Bay|WI|1-135-531-3799|1959-07-28 21:43:43|M
2000000000000025|Calvin|Mcmahon|Philadelphia|PA|1-620-166-8307|1959-07-17 13:08:40|M
2000000000000026|Cullen|Higgins|New Orleans|LA|1-837-470-5085|1965-05-15 07:06:24|M
2000000000000027|Hunter|Drake|Cleveland|OH|1-704-811-4045|1981-09-09 07:50:17|M
2000000000000028|Phelan|Dunn|Dover|DE|1-765-403-4533|1980-05-09 07:08:49|M
